Parent,Child,ParentLat,ParentLong,ChildLat,ChildLong,Distance,PrimaryColor
ARI,REN,33.4453,-112.0667,39.5288,-119.8077,600.987509497628,#A71930
ATL,GWI,33.8911,-84.4684,34.0405,-83.9923,29.1761548163874,#CE1141
BAL,NOR,39.2839,-76.6216,36.8431,-76.2793,169.703719678309,#DF4601
BOS,WOR,42.3467,-71.0987,42.2575,-71.8005,36.3966721579545,#BD3039
CHC,IOW,41.9477,-87.656,41.878,-93.0977,279.848022775884,#0E3386
CWS,CHA,41.5,-87.6348,35.2284,-80.8487,567.992191289804,#27251F
CIN,LOU,39.0974,-84.5071,38.2556,-85.7442,88.5368789619202,#C6011F
CLE,CMB,41.4962,-81.6852,40.0016,-83.0197,124.695932613193,#0C2340
COL,ALB,39.7559,-104.9942,35.07,-106.6289,336.016628242822,#33006F
DET,TOL,42.139,-83.0485,41.5486,-83.6387,50.8723498649719,#0C2340
HOU,SUG,29.7573,-95.3555,29.6224,-95.6473,19.84452608753,#002D62
KAN,OMA,39.0517,-94.4803,41.2565,-95.9345,170.62828326784,#004687
LAA,SLT,33.8003,-117.8827,40.7406,-111.8927,581.519180579313,#BA0021
LAD,OKC,34.0739,-118.24,35.4652,-97.5078,1178.69811486769,#005A9C
MIA,JAC,25.7781,-80.2196,30.3246,-81.6437,325.97249582736,#00A3E0
MIL,NSH,43.028,-87.9712,36.1437,-86.7739,479.999709611577,#12284B
MIN,STP,44.9817,-93.2776,44.9508,-93.084,9.7040557425313,#002B5C
NYM,SYR,40.3571,-73.8458,43.0792,-76.1654,222.926152180957,#002D72
NYY,SWB,40.8296,-73.9262,41.2247,-75.136,68.7286547105743,#0C2340
OAK,LV,37.7516,-121.8015,36.0907,-115.183952,383.106385661385,#003831
PHI,LEH,39.9061,-75.1665,40.6259,-75.4526,51.9814598230029,#E81828
PIT,IND,40.4469,-80.0057,39.7648,-86.1684,329.068797027539,#27251F
SD,ELP,32.7073,-117.1567,31.7584,-106.4932,626.532521680894,#2F241D
SF,SAC,37.7786,-122.3893,38.5805,-121.5135,73.038361842471,#FD5A1E
SEA,TAC,47.5914,-122.3325,47.238,-122.4976,25.6141274250687,#0C2C56
STL,MEM,38.6226,-90.1928,35.1427,-90.05,240.618667570767,#C41E3A
TB,DUR,27.7682,-82.6534,35.9917,-78.9041,609.263511213922,#092C5C
TEX,RND,32.751,-97.083,30.5277,-97.6301,156.982776070603,#003278
TOR,BUF,43.6418,-79.3891,42.8804,-78.8738,58.6622667621972,#134A8E
WAS,ROC,38.873,-77.0074,43.1875,-77.6109,299.81963368407,#AB0003
ARI,AMA,33.4453,-112.0667,35.222,-101.8313,596.574021999747,
ATL,MIS,33.8911,-84.4684,32.2608,-90.5269,368.416317035547,
BAL,BOW,39.2839,-76.6216,39.0068,-76.7791,20.9278453417408,
BOS,POR,42.3467,-71.0987,43.6591,-70.2568,100.180863884423,
CHC,TEN,41.9477,-87.656,35.9889,-83.6046,465.653533690309,
CWS,BIR,41.5,-87.6348,33.5075,-86.8105,554.183829193954,
CIN,CHT,39.0974,-84.5071,35.0456,-85.3097,283.483951720293,
CLE,AKR,41.4962,-81.6852,41.0814,-81.519,29.9369865824868,
COL,HRT,39.7559,-104.9942,41.7713,-72.6745,1687.4677924228,
DET,ERI,42.139,-83.0485,42.1274,-80.0809,152.083016768662,
HOU,CC,29.7573,-95.3555,27.8006,-97.3964,183.206390414733,
KAN,NWA,39.0517,-94.4803,36.1599,-94.1944,200.458492146778,
LAA,RC,33.8003,-117.8827,34.6993,-86.7483,1772.50752441846,
LAD,TUL,34.0739,-118.24,36.154,-95.9928,1263.05451538147,
MIA,PEN,25.7781,-80.2196,30.4213,-87.2169,533.566998156682,
MIL,BIL,43.028,-87.9712,30.396,-88.8853,874.425204510148,
MIN,WCH,44.9817,-93.2776,37.6872,-97.3301,546.022379536387,
NYM,BNH,40.3571,-73.8458,42.0987,-75.918,161.502037981243,
NYY,SOM,40.8296,-73.9262,40.5608,-74.5533,37.7455263350994,
OAK,MID,37.7516,-121.8015,31.9973,-102.0779,1184.06226513571,
PHI,REA,39.9061,-75.1665,40.3648,-75.9344,51.4870242335534,
PIT,ALT,40.4469,-80.0057,40.5187,-78.3947,84.8241488869882,
SD,SA,32.7073,-117.1567,29.4241,-98.4936,1126.2523938678,
SF,RCH,37.7786,-122.3893,37.572,-77.4643,2432.97913705565,
SEA,ARK,47.5914,-122.3325,34.7555,-92.2726,1781.46591333863,
STL,SPR,38.6226,-90.1928,37.2109,-93.28,194.526676423537,
TB,MON,27.7682,-82.6534,32.3792,-86.3077,386.327130697777,
TEX,FSC,32.751,-97.083,33.1507,-96.8236,31.4529800353799,
TOR,NH,43.6418,-79.3891,42.9813,-71.4663,400.851242063441,
WAS,HAR,38.873,-77.0074,40.2561,-76.8898,95.7884930187082,
ARI,HIL,33.4453,-112.0667,,,,
ATL,ROM,33.8911,-84.4684,,,,
BAL,ABE,39.2839,-76.6216,,,,
BOS,GRV,42.3467,-71.0987,,,,
CHC,SB,41.9477,-87.656,,,,
CWS,WS,41.5,-87.6348,,,,
CIN,DAY,39.0974,-84.5071,,,,
CLE,LC,41.4962,-81.6852,,,,
COL,SPO,39.7559,-104.9942,,,,
DET,WM,42.139,-83.0485,,,,
HOU,ASH,29.7573,-95.3555,,,,
KAN,QC,39.0517,-94.4803,,,,
LAA,TC,33.8003,-117.8827,,,,
LAD,GL,34.0739,-118.24,,,,
MIA,BEL,25.7781,-80.2196,,,,
MIL,WIS,43.028,-87.9712,,,,
MIN,CED,44.9817,-93.2776,,,,
NYM,BRO,40.3571,-73.8458,,,,
NYY,HUD,40.8296,-73.9262,,,,
OAK,LAN,37.7516,-121.8015,,,,
PHI,JS,39.9061,-75.1665,,,,
PIT,GRE,40.4469,-80.0057,,,,
SD,FW,32.7073,-117.1567,,,,
SF,EUG,37.7786,-122.3893,,,,
SEA,EVE,47.5914,-122.3325,,,,
STL,PEO,38.6226,-90.1928,,,,
TB,BG,27.7682,-82.6534,,,,
TEX,HIK,32.751,-97.083,,,,
TOR,VAN,43.6418,-79.3891,,,,
WAS,WIL,38.873,-77.0074,,,,
ARI,VIS,33.4453,-112.0667,,,,
ATL,AUG,33.8911,-84.4684,,,,
BAL,DLM,39.2839,-76.6216,,,,
BOS,SAL,42.3467,-71.0987,,,,
CHC,MYR,41.9477,-87.656,,,,
CWS,KNP,41.5,-87.6348,,,,
CIN,DYT,39.0974,-84.5071,,,,
CLE,LYN,41.4962,-81.6852,,,,
COL,FRN,39.7559,-104.9942,,,,
DET,LKL,42.139,-83.0485,,,,
HOU,FAY,29.7573,-95.3555,,,,
KAN,CBA,39.0517,-94.4803,,,,
LAA,IE,33.8003,-117.8827,,,,
LAD,RCM,34.0739,-118.24,,,,
MIA,JUP,25.7781,-80.2196,,,,
MIL,CAR,43.028,-87.9712,,,,
MIN,FM,44.9817,-93.2776,,,,
NYM,SL,40.3571,-73.8458,,,,
NYY,TAM,40.8296,-73.9262,,,,
OAK,STK,37.7516,-121.8015,,,,
PHI,CLR,39.9061,-75.1665,,,,
PIT,BRA,40.4469,-80.0057,,,,
SD,LE,32.7073,-117.1567,,,,
SF,SJ,37.7786,-122.3893,,,,
SEA,MOD,47.5914,-122.3325,,,,
STL,PB,38.6226,-90.1928,,,,
TB,CHN,27.7682,-82.6534,,,,
TEX,DEW,32.751,-97.083,,,,
TOR,DUN,43.6418,-79.3891,,,,
WAS,FRE,38.873,-77.0074,,,,
